label,Cm_de,Cn_dr,Cxa,Cxq,Cza,Czq,Cma,Cmq,Cz_adot,Cm_adot,muc,Cxu,Czu,Cx0,Cz0,Cmu,Cyb,Cyp,Cyr,Clb,Clp,Clr,Cnb,Cnp,Cnr,Cy_dr,Cy_beta_dot,Cn_beta_dot,mub,sym_eigvals,asym_eigvals,cg_front_bar,cg_rear_bar
Stability,-3.080917577365367,-0.16724317337050504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6048663518505394,0.36403122883625844
Stability,-2.7274758814539077,-0.15485479015787496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4162641000559083,0.27337835809176864
Stability,-2.566806057396831,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4122151123097499,0.25906611135027907
Stability,-2.612804619988145,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45255705895924553,0.20914073570729813
Stability,-2.616431933117635,-0.14417514945733173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4429449012304718,0.23327396609620665
Stability,-2.6192477421439477,-0.14417514945733176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42740389802983414,0.238290195830772
Stability,-2.652047041368706,-0.13487352691169732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.429931419993514,0.27156413314682615
Stability,-2.662494152594555,-0.13487352691169735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.425119177467345,0.24998391104014464
Stability,-2.673654085612203,-0.13487352691169735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4062041455829981,0.2569611196828882
Stability,-2.43306500579728,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35956261598564565,0.22037126223502101
Stability,-2.4577878477075474,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37830697235207816,0.2371173606913842
Stability,-2.533776245805057,-0.15485479015787493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39175065029138045,0.24096764214126717
Stability,-2.5343372311315884,-0.15485479015787498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40990079093431475,0.2309792324133136
Stability,-2.5210320561546977,-0.15485479015787496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4101715206736098,0.23491581162869554
Stability,-2.565152579686505,-0.14932426193795081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4247168019189072,0.24484903681527434
Stability,-2.526286187977498,-0.15485479015787498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3990333238551938,0.23903814475736204
Stability,-2.6128836097259227,-0.15485479015787496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45427271418209847,0.20084188029639252
Stability,-2.6231810109129357,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4400567498166463,0.2304787993682392
Stability,-2.588406353273925,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4148441850559444,0.24749401495541445
Stability,-2.550745023940951,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40169938892082563,0.24841461096042375
Stability,-2.5691414709075127,-0.14932426193795081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41250960723165325,0.24375482865035217
Stability,-2.5722631161284286,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4002952123353274,0.25261245791121084
Stability,-2.5625012907021243,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41030029079696273,0.2441561601693722
Stability,-2.56803512999401,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4029102111656701,0.25065944633743215
Stability,-2.559377045802144,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.408891210130387,0.2451767363833108
Stability,-2.5653278010266005,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40453609740309227,0.2491884790328712
Stability,-2.562577519184531,-0.14932426193795081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.407674326965378,0.24629570243131196
Stability,-2.5619473083686155,-0.14932426193795081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40654446589844045,0.24753739896686966
Stability,-2.562300035191153,-0.14932426193795081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40719976832400845,0.24691650813662222
Stability,-2.562092718893001,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40671687033919474,0.2474133019986621
Stability,-2.5622130883074767,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4070031324491815,0.2471361223564991
Stability,-2.5621424795386045,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4068282765135822,0.24731571317928258
Stability,-2.562183519392912,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.406931347941421,0.24721439379053725
Stability,-2.5621594797342446,-0.14932426193795076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4068692269128645,0.24727811178988812
Stability,-2.5621734632570647,-0.14932426193795081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40690571294038297,0.24724187939053585
Stability,-2.5621652705609894,-0.1493242619379508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4068839213132485,0.2472642047421796
